Term;Course #;Title`;Cross-listed Courses;Faculty;Method;Day and Time;Room;Enrollment;Combined Enrollment
0809F;ECON-11-26;An Intro to Economics;ECON-11-02,ECON-11-26;Adam Honig  Steven Rivkin  Geoffrey Woglom;LEC;T 01:00PM-01:50PM;MERR 1;3;24
0809F;ECON-11-26;An Intro to Economics;ECON-11-02,ECON-11-26;Adam Honig  Steven Rivkin  Geoffrey Woglom;LEC;T 01:00PM-01:50PM;MERR 1;3;24
0809F;ECON-11-36;An Intro to Economics;ECON-11-03,ECON-11-36;Jun Ishii  Steven Rivkin  Geoffrey Woglom;LEC;T 01:00PM-01:50PM;MERR 1;0;19
0809F;ECON-11-36;An Intro to Economics;ECON-11-03,ECON-11-36;Jun Ishii  Steven Rivkin  Geoffrey Woglom;LEC;T 01:00PM-01:50PM;MERR 1;0;19
0809F;ECON-11-36;An Intro to Economics;ECON-11-03,ECON-11-36;Jun Ishii  Steven Rivkin  Geoffrey Woglom;LEC;T 01:00PM-01:50PM;MERR 1;0;19
0809F;ECON-11-46;An Intro to Economics;ECON-11-04,ECON-11-46;Christopher Kingston  Steven Rivkin  Geoffrey Woglom;LEC;T 01:00PM-01:50PM;MERR 1;1;29
0809F;ECON-11-46;An Intro to Economics;ECON-11-04,ECON-11-46;Christopher Kingston  Steven Rivkin  Geoffrey Woglom;LEC;T 01:00PM-01:50PM;MERR 1;1;29
0809F;ECON-11-46;An Intro to Economics;ECON-11-04,ECON-11-46;Christopher Kingston  Steven Rivkin  Geoffrey Woglom;LEC;T 01:00PM-01:50PM;MERR 1;1;29
0809F;ECON-11-56;An Intro to Economics;ECON-11-05,ECON-11-56;Katharine Sims  Steven Rivkin  Geoffrey Woglom;LEC;T 01:00PM-01:50PM;MERR 1;2;18
0809F;ECON-11-56;An Intro to Economics;ECON-11-05,ECON-11-56;Katharine Sims  Steven Rivkin  Geoffrey Woglom;LEC;T 01:00PM-01:50PM;MERR 1;2;18
0809F;ECON-11-56;An Intro to Economics;ECON-11-05,ECON-11-56;Katharine Sims  Steven Rivkin  Geoffrey Woglom;LEC;T 01:00PM-01:50PM;MERR 1;2;18
0809F;ECON-11-66;An Intro to Economics;ECON-11-06,ECON-11-66;Geoffrey Woglom  Steven Rivkin;LEC;T 01:00PM-01:50PM;MERR 1;4;30
0809F;ECON-11-66;An Intro to Economics;ECON-11-06,ECON-11-66;Geoffrey Woglom  Steven Rivkin;LEC;T 01:00PM-01:50PM;MERR 1;4;30
0809F;ECON-26-01;Economics of Education;;Steven Rivkin;L/D;TTH 02:00PM-03:20PM;ESNH 107;28;28
0809F;ECON-28-01;Economic History of U.S.;;Daniel Barbezat;L/D;MWF 10:00AM-10:50AM;CONV 207;17;17
0809F;ECON-32-01;International Trade;;Beth Yarbrough;L/D;MW 10:30AM-11:50AM;ESNH 107;46;46
0809F;ECON-33-01;Open-Econ Macroeconomics;;Beth Yarbrough;L/D;MW 12:30PM-01:50PM;CONV 304;20;20
0809F;ECON-34-01;Money and Econ Activity;;Geoffrey Woglom;L/D;MWF 11:00AM-11:50AM;CHAP 201;28;28
0809F;ECON-53-01;Macroeconomics;;Sami Alpanda;L/D;MW 02:00PM-03:20PM;MERR 3;30;30
0809F;ECON-54-01;Microeconomics;;Jessica Reyes;L/D;TTH 10:00AM-11:20AM;ESNH 107;48;48
0809F;ECON-55-01;Intro to Econometrics;;Frank Westhoff;L/D;TTH 10:00AM-11:20AM;MERR 4;36;36
0809F;ECON-58-01;Adv Microeconomics;;Walter Nicholson;L/D;TTH 10:00AM-11:20AM;CONV 304;15;15
0809F;ECON-59-01;Econometrics;;Jun Ishii;L/D;TTH 02:00PM-03:20PM;SMUD 207;9;9
0809F;ECON-66-01;Law and Economics;;Walter Nicholson;L/D;TTH 02:00PM-03:20PM;CONV 207;21;21
0809F;ECON-71-01;Economic History;;Daniel Barbezat;L/D;WF 12:30PM-01:50PM;CONV 308;6;6
0809F;ECON-73-01;Game Theory & Applicatn;;Christopher Kingston;L/D;MW 12:30PM-01:50PM;MERR 4;34;34
0809F;ECON-76-01;Adv Open-Econ Macroecon;;Adam Honig;L/D;TTH 11:30AM-12:50PM;SMUD 204;17;17
0809F;ENGL-01-01;Having Arguments;WAGS-01-01,ENGL-01-01;Michele Barale;L/D;TTH 08:30AM-09:50AM;JOCH 21;4;11
0809F;ENGL-01-02;Novels, Plays, Poems;;Howell Chickering;L/D;MWF 10:00AM-10:50AM;CHAP 201;19;19
0809F;ENGL-01-03;Novels, Plays, Poems;;William Pritchard;L/D;MWF 11:00AM-11:50AM;CONV 302;19;19
0809F;ENGL-01-04;Novels, Plays, Poems;;David Sofield;L/D;MW 02:00PM-03:20PM;CONV 208;21;21
0809F;ENGL-01-05;Novels, Plays, Poems;;Helen von Schmidt;L/D;TTH 08:30AM-09:50AM;CONV 302;17;17
0809F;ENGL-01-06;American Renaissance;;Allen Guttmann;L/D;MWF 10:00AM-10:50AM;CONV 308;13;13
0809F;ENGL-01-07;Visuality and Literature;;Jennifer Cayer;L/D;TTH 08:30AM-09:50AM;CHAP 204;11;11
0809F;ENGL-01-08;Representing Revenge;;Allison Deutermann;L/D;TTH 10:00AM-11:20AM;BARR 105;17;17
0809F;ENGL-02-01;Reading/Writing/Teaching;;Karen Sanchez-Eppler;L/D;MW 02:00PM-03:20PM;BARR 102;19;19
0809F;ENGL-03-01;Reading & Experience;;Marisa Parham;L/D;TTH 10:00AM-11:20AM;FAYE 117;23;23
0809F;ENGL-05-01;Reading Historically;;Karen Sanchez-Eppler;L/D;MW 12:30PM-01:50PM;WEBS 220;14;14
0809F;ENGL-16-01;Coming to Terms: Cinema;;John Cameron;L/D;MW 02:00PM-03:20PM;JOCH 21;27;27
0809F;ENGL-21-01;Writing Poetry I;;Daniel Hall;L/D;MW 12:30PM-01:50PM;WEBS 215;12;12
0809F;ENGL-24-01;Screenwriting;;Sabina Murray;L/D;M 02:00PM-05:00PM;CHAP 203;15;15
0809F;ENGL-26-01;Fiction Writing I;;Alexander Chee;L/D;MW 02:00PM-03:20PM;CONV 304;15;15
0809F;ENGL-27-01;Writing Poetry II;;Daniel Hall;L/D;MW 02:00PM-03:20PM;WEBS 215;10;10
0809F;ENGL-30-01;Chaucer: An Introduction;;Howell Chickering;L/D;MWF 11:00AM-11:50AM;JOCH 21;9;9
0809F;ENGL-35-01;Shakespeare;;Jane Degenhardt;L/D;TTH 02:00PM-03:20PM;WEBS 219;14;14
0809F;ENGL-43-01;Mod Brit Lit: 1900-1950;;William Pritchard;L/D;MWF 10:00AM-10:50AM;CONV 108;50;50
